============================= test session starts ==============================
platform linux -- Python 3.8.6, pytest-6.2.2, py-1.10.0, pluggy-0.13.1 -- /home/ubuntu/.virtualenvs/docker-py/bin/python
cachedir: .pytest_cache
rootdir: /home/ubuntu/docker-py, configfile: pytest.ini
plugins: cov-2.6.1, timeout-1.3.3
collecting ... collected 415 items

tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_stream_demux PASSED [ 31%]
tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_stream_no_demux PASSED [ 31%]
tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_tty_no_stream_demux PASSED [ 32%]
tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_tty_no_stream_no_demux PASSED [ 32%]
tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_tty_stream_demux FAILED [ 32%]
tests/integration/api_exec_test.py::ExecDemuxTest::test_exec_command_tty_stream_no_demux FAILED [ 32%]
tests/integration/api_healthcheck_test.py::HealthcheckTest::test_healthcheck_fails PASSED [ 33%]
tests/integration/api_healthcheck_test.py::HealthcheckTest::test_healthcheck_passes PASSED [ 33%]
tests/integration/api_healthcheck_test.py::HealthcheckTest::test_healthcheck_shell_command PASSED [ 33%]
tests/integration/api_healthcheck_test.py::HealthcheckTest::test_healthcheck_start_period PASSED [ 33%]
tests/integration/api_image_test.py::ListImagesTest::test_images PASSED  [ 33%]
tests/integration/api_image_test.py::ListImagesTest::test_images_quiet PASSED [ 34%]
tests/integration/api_image_test.py::PullImageTest::test_pull PASSED     [ 34%]
tests/integration/api_image_test.py::PullImageTest::test_pull_invalid_platform PASSED [ 34%]
tests/integration/api_image_test.py::PullImageTest::test_pull_streaming PASSED [ 34%]
tests/integration/api_image_test.py::CommitTest::test_commit PASSED      [ 35%]
tests/integration/api_image_test.py::CommitTest::test_commit_with_changes PASSED [ 35%]
tests/integration/api_image_test.py::RemoveImageTest::test_remove PASSED [ 35%]
tests/integration/api_image_test.py::ImportImageTest::test_get_load_image PASSED [ 35%]
tests/integration/api_image_test.py::ImportImageTest::test_import_from_bytes PASSED [ 36%]
tests/integration/api_image_test.py::ImportImageTest::test_import_from_file PASSED [ 36%]
tests/integration/api_image_test.py::ImportImageTest::test_import_from_stream PASSED [ 36%]
tests/integration/api_image_test.py::ImportImageTest::test_import_from_url SKIPPED [ 36%]
tests/integration/api_image_test.py::ImportImageTest::test_import_image_from_data_with_changes PASSED [ 37%]
tests/integration/api_image_test.py::ImportImageTest::test_import_image_with_changes PASSED [ 37%]
tests/integration/api_image_test.py::PruneImagesTest::test_prune_images PASSED [ 37%]
tests/integration/api_image_test.py::SaveLoadImagesTest::test_get_image_load_image PASSED [ 37%]
tests/integration/api_image_test.py::InspectDistributionTest::test_inspect_distribution PASSED [ 38%]
tests/integration/api_network_test.py::TestNetworks::test_connect_and_disconnect_container PASSED [ 38%]
tests/integration/api_network_test.py::TestNetworks::test_connect_and_force_disconnect_container PASSED [ 38%]
tests/integration/api_network_test.py::TestNetworks::test_connect_on_container_create PASSED [ 38%]
tests/integration/api_network_test.py::TestNetworks::test_connect_with_aliases PASSED [ 39%]
tests/integration/api_network_test.py::TestNetworks::test_connect_with_ipv4_address PASSED [ 39%]
tests/integration/api_network_test.py::TestNetworks::test_connect_with_ipv6_address PASSED [ 39%]
tests/integration/api_network_test.py::TestNetworks::test_connect_with_links PASSED [ 39%]
tests/integration/api_network_test.py::TestNetworks::test_create_check_duplicate PASSED [ 40%]
tests/integration/api_network_test.py::TestNetworks::test_create_internal_networks PASSED [ 40%]
tests/integration/api_network_test.py::TestNetworks::test_create_network_ipv6_enabled PASSED [ 40%]
tests/integration/api_network_test.py::TestNetworks::test_create_network_with_host_driver_fails PASSED [ 40%]
tests/integration/api_network_test.py::TestNetworks::test_create_network_with_ipam_config PASSED [ 40%]
tests/integration/api_network_test.py::TestNetworks::test_create_network_with_labels PASSED [ 41%]
tests/integration/api_network_test.py::TestNetworks::test_create_network_with_labels_wrong_type PASSED [ 41%]
tests/integration/api_network_test.py::TestNetworks::test_create_remove_network_with_space_in_name PASSED [ 41%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_aliases PASSED [ 41%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_driveropt PASSED [ 42%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_ipv4_address PASSED [ 42%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_ipv6_address PASSED [ 42%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_linklocal_ips PASSED [ 42%]
tests/integration/api_network_test.py::TestNetworks::test_create_with_links PASSED [ 43%]
tests/integration/api_network_test.py::TestNetworks::test_inspect_network PASSED [ 43%]
tests/integration/api_network_test.py::TestNetworks::test_list_networks PASSED [ 43%]
tests/integration/api_network_test.py::TestNetworks::test_prune_networks PASSED [ 43%]
tests/integration/api_network_test.py::TestNetworks::test_remove_network PASSED [ 44%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_and_disconnect_container PASSED [ 44%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_and_force_disconnect_container PASSED [ 44%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_on_container_create PASSED [ 44%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_with_aliases PASSED [ 45%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_with_ipv4_address PASSED [ 45%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_with_ipv6_address PASSED [ 45%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_connect_with_links PASSED [ 45%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_check_duplicate PASSED [ 46%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_inspect_network_with_scope PASSED [ 46%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_internal_networks PASSED [ 46%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_attachable PASSED [ 46%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_ingress PASSED [ 46%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_ipv6_enabled PASSED [ 47%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_with_host_driver_fails PASSED [ 47%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_with_ipam_config PASSED [ 47%]
tests/integration/api_network_test.py::TestNetworksWithSwarm::test_create_network_with_labels PASSED [ 47%]
